param_p,param_q,AIC
0.0,0.0,5510.195780757286
0.0,1.0,5439.311451805129
0.0,2.0,5423.754059655914
0.0,3.0,5414.08644440727
0.0,4.0,5415.519719537762
1.0,0.0,5424.0707261679145
1.0,1.0,5394.156075332901
1.0,2.0,5366.729320894523
1.0,3.0,5365.600371027468
1.0,4.0,5366.1958350228
2.0,0.0,5413.291892818945
2.0,1.0,5364.342231045988
2.0,2.0,5365.282933002893
2.0,3.0,5369.291871050331
2.0,4.0,5365.95389338365
3.0,0.0,5409.690358451101
3.0,1.0,5411.561168353458
3.0,2.0,5366.759718323126
3.0,3.0,5367.310041987193
3.0,4.0,5355.056256756202
4.0,0.0,5411.5822391237925
4.0,1.0,5367.170048570201
4.0,2.0,5366.7738777873765
4.0,3.0,5354.587623520885
4.0,4.0,5356.4954397125875
5.0,0.0,5408.305527062867
5.0,1.0,5365.516411325638
5.0,2.0,5367.318211963606
5.0,3.0,5356.513153899306
5.0,4.0,5358.198592120529
6.0,0.0,5409.584463095601
6.0,1.0,5367.515972674788
6.0,2.0,5367.948181170247
6.0,3.0,5358.130274213727
6.0,4.0,5360.162978791828
7.0,0.0,5405.584696750726
7.0,1.0,5367.508197589272
7.0,2.0,5370.156951277243
7.0,3.0,5357.975425723369
7.0,4.0,5358.8876449132395
8.0,0.0,5398.609168458992
8.0,1.0,5369.457047632152
8.0,2.0,5371.496683023015
8.0,3.0,5358.458728829664
8.0,4.0,5360.422351220665
9.0,0.0,5395.919422618314
9.0,1.0,5370.348588715621
9.0,2.0,5372.579561209366
9.0,3.0,5360.407980642677
9.0,4.0,5362.302989008971
10.0,0.0,5394.446255330867
10.0,1.0,5372.111746002469
10.0,2.0,5373.123887538845
10.0,3.0,5362.357300679016
10.0,4.0,5363.040416228905
11.0,0.0,5392.1944872786235
11.0,1.0,5393.515717870112
11.0,2.0,5375.024214497681
11.0,3.0,5364.355928102932
11.0,4.0,5365.03875759507
